lon,lat,ve,vn,ee,en,site,yrs,t_start_end,network
16.6885,39.0359,1.5,3.2,0.14,0.14,SERS,13.32,2005.71-2019.03,RING
16.7008,39.2632,2.0,3.2,0.34,0.34,SGIF,3.12,2016.38-2019.50,ITALPOS
27.8967,42.9582,0.0,-0.7,0.13,0.14,SHCO,10.29,2009.22-2019.51,BULGARIA
19.4963,42.0506,-0.5,1.0,0.18,0.17,SHKO,16.81,2002.70-2019.51,ALBANIA
21.0385,42.4341,0.2,-1.4,0.32,0.22,SHTI,6.51,2013.00-2019.51,KOPOS
26.943,43.2691,-0.07,-1.0,0.15,0.17,SHUM,10.07,2009.44-2019.51,BULGARIA
27.2681,44.1209,-0.2,-0.7,0.13,0.17,SILI,8.6,2010.91-2019.51,BULGARIA
20.6594,38.1009,-5.7,-16.21,0.76,1.43,SISS,4.24,2014.21-2018.45,NOA
26.1061,35.2048,-15.51,-26.62,0.3,0.34,SITI,5.25,2014.26-2019.52,METRICA
23.7278,39.1218,-7.41,-21.44,0.31,0.37,SKO1,5.73,2010.59-2016.32,METRICA
21.4074,41.9997,1.3,-2.5,0.17,0.16,SKOP,9.06,2010.17-2019.23,MAKPOS
24.5646,38.9044,-14.41,-24.32,0.21,0.36,SKYR,6.6,2012.91-2019.51,NOA
26.3412,42.6734,0.1,-0.4,0.17,0.19,SLIV,10.07,2009.44-2019.51,BULGARIA
24.7059,41.5775,0.5,-2.3,0.19,0.19,SMOL,10.29,2009.22-2019.51,BULGARIA
23.3675,42.6502,0.3,-2.2,0.16,0.21,SOF2,8.21,2011.30-2019.51,BULGARIA
23.2685,42.6678,1.8,-2.6,0.27,0.26,SOFA,12.02,2007.49-2019.51,BULGARIA
23.3947,42.5561,0.4,-2.0,0.12,0.13,SOFI,19.5,2000.01-2019.51,EUREF
16.5473,38.6843,1.7,2.8,0.21,0.18,SOV1,9.37,2010.13-2019.50,ITALPOS
20.6736,38.7813,-2.9,-10.21,0.26,0.22,SPAN,12.11,2007.39-2019.50,NOA
23.1554,37.2674,-18.01,-26.92,0.15,0.2,SPET,10.57,2008.94-2019.52,METRICA
16.4385,43.5066,1.0,3.3,0.17,0.18,SPLT,7.91,2004.34-2012.25,SONEL
27.1821,42.346,0.18,-1.0,0.23,0.24,SRED,4.91,2014.60-2019.51,BULGARIA
18.4139,43.8679,0.8,1.2,0.12,0.15,SRJV,19.38,2000.13-2019.51,EUREF
23.7908,40.5202,0.74,-7.41,0.24,0.32,STRA,8.65,2010.82-2019.46,METRICA
16.915,39.1478,2.5,3.4,0.21,0.27,STSV,5.33,2006.87-2012.20,UNAVCO
25.6836,42.428,0.7,-1.2,0.17,0.22,STZA,8.34,2010.89-2019.23,BULGARIA
24.0145,49.8356,-0.4,0.2,0.09,0.1,SULP,17.76,2001.68-2019.44,EUREF
17.7041,40.6559,0.9,4.3,0.19,0.21,SVDN,6.26,2013.25-2019.51,NETGEO
16.4405,40.6044,0.9,4.3,0.11,0.14,SVTO,12.79,2006.64-2019.43,RING
17.2835,40.5266,0.9,4.5,0.11,0.16,TARA,8.53,2010.97-2019.50,ITALPOS
16.5489,39.8857,0.9,4.2,0.28,0.29,TBCC,3.82,2015.69-2019.50,ITALPOS
27.4075,43.7458,0.7,0.41,0.25,0.35,TERV,4.91,2014.60-2019.51,BULGARIA
20.9703,42.0094,1.6,-2.2,0.2,0.2,TETO,10.23,2009.00-2019.23,MAKPOS
23.3184,38.3166,-15.21,-22.72,0.2,0.23,THIV,8.08,2011.44-2019.52,METRICA
22.9594,40.6275,0.9,-7.0,0.17,0.22,THS1,5.6,2013.92-2019.52,METRICA
27.3937,36.3804,-12.35,-29.92,0.16,0.17,TILO,11.12,2005.50-2016.62,UNAVCO
19.8095,41.3357,-2.6,0.3,0.29,0.3,TIR2,4.21,2015.22-2019.43,ALBPOS
19.8632,41.3473,-2.0,0.6,0.23,0.15,TIRA,16.81,2002.70-2019.51,ALBANIA
28.4123,44.4573,0.0,-0.3,0.16,0.17,TIRG,7.51,2012.00-2019.51,NIEP
18.6983,42.432,0.3,2.4,0.13,0.17,TIVA,11.49,2008.00-2019.49,MONTENEGRO
22.651,42.8348,-0.09,-2.0,0.25,0.26,TRAN,5.68,2013.83-2019.51,BULGARIA
16.5269,39.8691,1.3,4.2,0.2,0.2,TRE2,6.66,2009.63-2016.29,CALABRIA
22.3694,37.5081,-17.21,-26.03,0.28,0.31,TRIP,7.84,2011.67-2019.52,METRICA
22.0727,38.3654,-15.91,-14.71,0.22,0.22,TRIZ,17.14,2002.37-2019.51,CRL
24.7119,42.8799,0.2,-0.9,0.15,0.16,TROY,12.01,2007.50-2019.51,BULGARIA
29.4507,40.7867,-4.3,-1.5,0.14,0.12,TUBI,19.51,2000.00-2019.51,EUREF
16.5928,49.2059,0.0,0.3,0.07,0.08,TUBO,17.79,2001.71-2019.50,EUREF
24.0706,35.5332,-16.61,-25.82,0.15,0.15,TUC2,14.77,2004.74-2019.51,EUREF
26.6041,44.0479,-0.3,-0.88,0.2,0.22,TUTR,4.91,2014.59-2019.51,BULGARIA
28.6661,43.9902,-0.4,0.0,0.22,0.2,TUZL,6.12,2013.39-2019.51,NIEP
18.162,39.9277,0.9,4.1,0.1,0.11,UGEN,12.14,2007.37-2019.51,PUGLIA
18.1115,40.3349,1.1,4.1,0.11,0.13,USAL,9.36,2010.15-2019.51,EUREF
16.9045,41.0164,1.2,4.1,0.1,0.12,VAL1,11.97,2007.54-2019.51,PUGLIA
22.1348,38.2337,-16.51,-25.82,0.8,0.72,VALI,3.77,2015.74-2019.51,CRL
19.8837,44.2716,0.5,0.5,0.15,0.15,VALJ,11.21,2008.28-2019.50,AGROS
22.5634,41.3183,1.0,-4.6,0.23,0.19,VALX,9.69,2009.54-2019.23,MAKPOS
23.2918,43.1884,0.1,-1.0,0.17,0.19,VAR1,12.02,2007.49-2019.51,BULGARIA
27.9227,43.2025,1.2,-0.57,0.34,0.25,VARN,10.75,2007.03-2017.77,OLG
21.7705,41.7182,1.4,-3.4,0.17,0.17,VELE,10.23,2009.00-2019.23,MAKPOS
23.9867,42.024,0.4,-2.1,0.14,0.17,VELI,12.02,2007.49-2019.51,BULGARIA
22.2044,40.5228,0.9,-7.11,0.31,0.26,VERI,4.34,2015.18-2019.52,METRICA
21.52,44.7665,0.25,-0.8,0.16,0.22,VGRA,11.21,2008.28-2019.50,AGROS
22.8523,43.994,-0.3,-1.3,0.14,0.19,VID1,5.51,2014.00-2019.51,BULGARIA
22.5045,41.8841,0.9,-2.6,0.18,0.2,VINI,9.69,2009.54-2019.23,MAKPOS
19.4832,40.471,-0.8,4.0,0.73,0.65,VLO2,3.94,2015.49-2019.43,ALBPOS
20.5886,38.1768,-6.5,-10.41,0.24,0.23,VLSM,13.39,2006.12-2019.51,NOA
22.8872,39.353,-4.3,-12.28,0.18,0.21,VOLO,9.0,2010.51-2019.51,METRICA
23.7038,40.7116,0.4,-6.5,0.29,0.29,VRAS,3.5,2015.55-2019.05,URANUS
27.9481,43.2199,-0.9,-1.1,0.29,0.39,VRNA,4.77,2014.59-2019.36,BULGARIA
5.2453,50.6899,0.2,-0.1,0.1,0.16,WARE,19.51,2000.00-2019.51,EUREF
6.6045,52.9146,-0.1,0.6,0.08,0.14,WSRT,19.5,2000.01-2019.51,EUREF
12.8789,49.1442,0.3,0.3,0.08,0.1,WTZR,19.51,2000.00-2019.51,EUREF
21.9118,38.3852,-13.61,-14.81,0.39,0.44,XILI,5.16,2014.35-2019.51,CRL
23.8538,42.0644,1.17,-1.84,0.21,0.3,YUND,3.32,2007.49-2010.82,BULGARIA
20.885,37.7792,-10.71,-16.01,0.26,0.35,ZAKY,5.92,2013.60-2019.52,METRICA
26.217,35.1149,-16.01,-28.12,0.5,0.42,ZKRO,5.13,2014.38-2019.50,NOA
